date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2017-05-18;1824.9;1799.2;1812.9;1805.3;1809.4;1812.9;true;25.7;1831.1;1798.2;1824.5;1799.1;1812.9;true;true;false;true;true;true;false;;1495069500000000;1495069500000000;10:00 - 10:15;false;true;false;1802.1;1827.0;1799.1;1831.1;1813.2;1799.1;1495069800000000;1495070100000000;true;10:15 - 10:30;10:00 - 10:15;1813.1;;true;;-0.0;-0.8;0.5;1.0;-0.1;1.2;0.3;0.5;0.5;-0.1;1.2;Strong Downtrend;;true;true;21.0;1.2
2017-05-19;1899.7;1887.1;1898.0;1895.0;1896.2;1896.3;true;12.6;1925.0;1852.2;1919.6;1887.2;1916.1;true;true;true;false;true;true;false;1495152600000000;;1495152600000000;09:00 - 09:15;true;true;true;1890.9;1899.2;1852.2;1925.0;1852.2;1925.0;1495161300000000;1495170000000000;true;14:00 - 14:15;11:30 - 11:45;1896.7;1906.5;true;false;3.0;10.0;-2.7;-14.2;3.1;-2.7;0.8;0.8;2.4;-2.7;3.1;Strong Uptrend;;false;true;17.7;0.7
2017-05-22;2059.4;2008.2;2032.7;2009.4;2032.7;2032.4;false;51.2;2136.7;2005.5;2084.9;2013.1;2081.3;true;true;true;false;true;true;false;1495421400000000;;1495421400000000;11:45 - 12:00;true;true;true;2005.5;2085.2;2033.7;2136.7;2033.7;2136.7;1495421700000000;1495428000000000;true;13:30 - 13:45;11:45 - 12:00;2032.0;2065.5;true;false;2.5;5.4;0.5;1.1;2.6;0.5;0.5;0.5;1.5;-0.0;2.6;Strong Uptrend;Contraction;true;true;52.7;1.0
2017-05-23;2118.8;2025.8;2110.4;2040.5;2040.5;2104.6;true;93.0;2209.1;2100.4;2199.7;2104.6;2198.3;true;false;true;false;true;true;true;1495497900000000;;1495497900000000;09:00 - 09:15;true;true;true;2101.3;2123.3;2100.4;2209.1;2100.4;2209.1;1495506000000000;1495517100000000;true;14:15 - 14:30;11:15 - 11:30;2104.6;2170.0;false;false;1.9;2.4;0.9;0.9;2.0;0.9;0.2;0.9;1.9;0.9;2.0;Medium Downtrend;Medium Uptrend;false;true;71.0;1.3
2017-05-24;2265.0;2244.6;2255.4;2247.4;2250.0;2255.4;true;20.4;2317.8;2254.4;2315.0;2256.2;2287.4;true;false;true;false;true;true;true;1495584600000000;;1495584600000000;09:00 - 09:15;true;true;true;2254.4;2269.5;2260.2;2317.8;2260.2;2317.8;1495585800000000;1495598700000000;true;13:00 - 13:15;09:30 - 09:45;2256.2;2309.0;true;false;3.5;8.8;0.8;1.6;3.6;0.8;0.3;0.6;2.1;0.5;3.6;Medium Uptrend;Strong Uptrend;false;false;36.8;0.6
2017-05-26;2417.0;2264.6;2400.4;2299.5;2400.4;2329.2;false;152.4;2523.5;2320.7;2501.9;2329.2;2493.7;true;false;true;false;true;true;true;1495758300000000;;1495758300000000;09:15 - 09:30;true;true;true;2320.7;2411.2;2340.9;2523.5;2360.9;2523.5;1495758900000000;1495761900000000;true;10:15 - 10:30;09:30 - 09:45;2329.2;2450.5;false;false;1.6;2.2;0.7;0.7;1.7;0.6;0.9;0.5;1.6;0.4;1.7;Strong Downtrend;Medium Downtrend;false;true;114.7;1.3
2017-05-29;2248.3;2172.1;2205.9;2180.2;2205.9;2180.2;false;76.2;2244.6;2094.4;2244.2;2112.8;2181.1;false;true;false;true;true;true;true;;1496023200000000;1496023200000000;11:00 - 11:15;false;true;false;2126.3;2244.6;2094.4;2224.6;2224.0;2094.4;1496024400000000;1496027400000000;true;12:00 - 12:15;11:15 - 11:30;2179.5;2212.5;true;true;-1.0;-3.3;0.6;1.7;-1.1;0.6;0.4;0.1;0.1;-1.1;0.9;Strong Downtrend;Weak Uptrend;true;true;48.6;1.6
2017-05-30;2300.4;2251.6;2296.0;2263.4;2263.4;2274.3;true;48.8;2330.5;2200.2;2312.0;2209.5;2293.8;true;true;true;true;true;false;false;1496114700000000;1496103900000000;1496103900000000;09:15 - 09:30;false;false;false;2251.1;2285.1;2200.2;2330.5;2258.3;2200.2;1496104500000000;1496105100000000;true;09:45 - 10:00;09:30 - 09:45;2275.0;2294.7;true;true;-1.0;-1.9;0.1;-0.2;-1.1;1.6;0.2;0.4;0.8;-1.1;1.6;Strong Uptrend;Weak Downtrend;false;true;44.6;1.1
2017-05-31;2195.8;2137.0;2191.7;2140.3;2158.9;2191.7;true;58.8;2244.1;2147.5;2240.0;2171.2;2212.1;true;false;true;false;true;true;true;1496190000000000;;1496190000000000;09:15 - 09:30;true;true;true;2177.8;2213.4;2147.5;2244.1;2164.7;2244.1;1496197500000000;1496200200000000;true;12:00 - 12:15;11:15 - 11:30;2191.4;2184.7;false;false;1.8;2.0;0.5;0.5;1.9;0.2;0.4;1.0;1.3;0.2;1.9;Strong Downtrend;Medium Downtrend;true;true;20.1;2.9
2017-06-01;2308.0;2283.6;2304.8;2297.5;2304.8;2303.4;false;24.4;2404.9;2298.4;2397.1;2303.5;2384.6;true;false;true;false;true;true;true;1496275500000000;;1496275500000000;09:00 - 09:15;true;true;true;2298.4;2305.7;2302.1;2404.9;2302.1;2404.9;1496275800000000;1496293200000000;true;14:00 - 14:15;09:00 - 09:15;2303.5;2375.9;false;false;4.9;14.7;0.8;0.7;5.0;0.8;0.9;0.9;4.2;0.7;5.0;Strong Uptrend;Strong Uptrend;false;true;27.7;0.9
2017-06-02;2419.1;2389.7;2418.4;2399.4;2407.0;2418.4;true;29.4;2445.7;2380.1;2444.8;2381.8;2411.1;true;true;true;true;true;false;false;1496369400000000;1496366700000000;1496366700000000;10:15 - 10:30;false;false;false;2385.3;2418.9;2380.1;2445.7;2395.5;2380.1;1496367000000000;1496367000000000;true;10:30 - 10:45;10:30 - 10:45;2418.4;2441.4;false;false;-0.3;-1.0;0.1;-0.3;-0.4;1.9;0.5;0.9;0.7;-0.4;1.9;Strong Downtrend;Strong Downtrend;false;false;36.8;0.8
2017-06-05;2536.9;2517.5;2533.0;2521.8;2530.7;2523.1;false;19.4;2591.4;2518.2;2591.0;2519.5;2574.8;true;false;true;false;true;true;true;1496623500000000;;1496623500000000;09:45 - 10:00;true;true;true;2518.2;2535.7;2535.2;2591.4;2535.2;2591.4;1496623800000000;1496636100000000;true;13:15 - 13:30;09:45 - 10:00;2523.5;2584.0;false;false;3.8;6.2;1.0;1.2;3.9;1.0;0.7;0.3;3.0;0.1;3.9;Strong Uptrend;;true;true;11.3;1.7
2017-06-07;2877.4;2854.2;2875.1;2865.6;2865.6;2869.1;true;23.2;2881.6;2803.9;2881.2;2810.7;2854.2;true;true;true;true;true;false;false;1496793600000000;1496795700000000;1496793600000000;09:00 - 09:15;true;false;false;;;2803.9;2881.6;2866.8;2881.6;1496793900000000;1496793900000000;true;09:00 - 09:15;09:00 - 09:15;2868.8;2860.7;false;true;1.1;1.6;0.6;0.2;1.2;-2.1;0.5;0.7;0.0;-2.1;1.2;Strong Downtrend;Medium Uptrend;false;true;15.7;1.5
2017-06-08;2720.1;2681.4;2713.9;2686.3;2710.2;2686.3;false;38.7;2783.3;2618.4;2782.5;2619.3;2765.8;true;true;true;true;true;false;false;1496887200000000;1496880000000000;1496880000000000;09:00 - 09:15;false;false;false;;;2618.4;2783.3;2685.4;2618.4;1496880600000000;1496881500000000;true;09:15 - 09:30;09:00 - 09:15;2684.9;2725.2;true;false;-1.6;-2.4;0.1;-0.1;-1.7;2.6;0.7;0.1;2.1;-1.7;2.6;Strong Downtrend;Strong Downtrend;true;false;16.1;2.4
2017-06-09;2811.7;2796.0;2811.0;2801.5;2805.4;2807.7;true;15.7;2843.6;2796.0;2840.2;2800.3;2815.0;true;false;true;false;true;true;true;1496970600000000;;1496970600000000;10:00 - 10:15;true;true;true;2796.0;2813.4;2804.2;2843.6;2806.7;2843.6;1496970900000000;1496973900000000;true;11:00 - 11:15;10:15 - 10:30;2807.6;2805.6;false;false;3.0;4.4;0.7;0.6;3.1;0.6;0.6;0.8;1.3;0.0;3.1;Strong Uptrend;Strong Uptrend;true;false;8.6;1.8
2017-06-12;2998.9;2923.7;2959.6;2943.9;2943.9;2954.0;true;75.2;3000.0;2885.9;2997.2;2920.6;2942.5;true;true;false;true;true;true;false;;1497225900000000;1497225900000000;09:00 - 09:15;false;true;false;2951.6;2974.7;2885.9;3000.0;3000.0;2885.9;1497231300000000;1497245100000000;true;14:15 - 14:30;10:30 - 10:45;2954.2;2948.0;true;false;-0.5;-3.6;1.0;3.5;-0.6;1.0;0.2;0.4;0.2;-0.6;1.0;;;;;;
2017-06-14;2714.3;2701.8;2712.0;2704.4;2704.4;2710.0;true;12.5;2774.1;2702.4;2768.9;2704.0;2763.1;true;false;true;false;true;true;true;1497399300000000;;1497399300000000;09:15 - 09:30;true;true;true;2702.4;2713.9;2704.9;2774.1;2704.9;2774.1;1497399900000000;1497404700000000;true;10:45 - 11:00;09:15 - 09:30;2709.9;;false;;5.7;9.1;0.3;0.1;5.8;0.3;0.3;0.7;5.0;0.1;5.8;;;;;;
2017-06-16;2422.4;2378.0;2421.1;2393.0;2421.1;2406.7;false;44.4;2430.4;2302.5;2427.3;2306.4;2425.1;true;true;true;true;true;false;false;1497589800000000;1497573000000000;1497573000000000;09:30 - 09:45;false;false;false;2385.6;2422.0;2302.5;2430.4;2396.6;2302.5;1497576000000000;1497578700000000;true;11:00 - 11:15;10:15 - 10:30;2405.4;2377.6;true;false;-1.7;-3.2;0.4;0.1;-1.8;1.1;0.9;0.6;1.0;-1.8;1.1;Strong Uptrend;Strong Downtrend;true;true;25.9;1.7
2017-06-19;2523.4;2491.8;2515.9;2498.1;2498.6;2508.2;true;31.6;2573.8;2501.8;2573.5;2504.3;2565.7;true;false;true;false;true;true;true;1497831300000000;;1497831300000000;09:15 - 09:30;true;true;true;2501.8;2524.9;2502.2;2573.8;2502.2;2573.8;1497837000000000;1497849600000000;true;14:15 - 14:30;10:45 - 11:00;2514.3;2557.5;true;false;2.5;4.2;0.4;0.3;2.6;0.4;0.3;0.6;2.4;0.4;2.6;Strong Uptrend;Medium Downtrend;true;true;29.0;1.1
2017-06-21;2735.5;2714.2;2734.1;2714.6;2734.1;2725.1;false;21.3;2780.0;2678.2;2779.6;2697.3;2735.0;true;true;true;true;true;false;false;1498014900000000;1498003500000000;1498003500000000;09:00 - 09:15;false;false;false;2717.6;2725.1;2678.2;2780.0;2734.2;2678.2;1498006200000000;1498012200000000;true;11:30 - 11:45;09:45 - 10:00;2725.1;2742.2;false;false;-1.6;-1.8;0.9;1.0;-1.7;3.0;0.9;0.5;0.9;-1.7;3.0;Strong Uptrend;Strong Uptrend;false;true;38.2;0.6
2017-06-22;2657.1;2623.6;2649.1;2634.8;2649.1;2647.3;false;33.5;2675.8;2597.7;2675.3;2598.0;2622.0;true;true;true;true;true;false;false;1498089900000000;1498094400000000;1498089900000000;09:00 - 09:15;true;false;false;2635.5;2649.7;2597.7;2675.8;2649.3;2675.8;1498090800000000;1498091100000000;true;09:15 - 09:30;09:15 - 09:30;2647.4;2634.5;false;true;1.5;2.8;0.8;1.1;1.6;-0.7;0.8;0.8;-0.0;-0.7;1.6;Strong Downtrend;Strong Uptrend;true;true;15.3;2.2
2017-06-23;2685.7;2676.7;2683.5;2679.3;2679.3;2683.5;true;9.0;2734.1;2681.7;2731.4;2682.1;2714.1;true;false;true;false;true;true;true;1498176000000000;;1498176000000000;09:00 - 09:15;true;true;true;;;2681.7;2734.1;2681.7;2734.1;1498176900000000;1498183500000000;true;11:00 - 11:15;09:15 - 09:30;2683.4;2712.2;false;false;6.3;13.0;0.6;0.6;6.4;0.6;0.3;0.8;4.2;0.6;6.4;;;;;;
2017-06-26;2506.8;2487.0;2504.2;2488.7;2488.7;2498.8;true;19.8;2556.0;2476.3;2550.2;2484.6;2514.2;true;true;true;true;true;false;false;1498437900000000;1498435800000000;1498435800000000;09:00 - 09:15;false;false;false;2484.4;2503.6;2477.0;2556.0;2489.5;2477.0;1498436100000000;1498436100000000;true;09:15 - 09:30;09:15 - 09:30;2498.7;2547.2;false;false;-0.5;-0.7;0.1;0.0;-0.6;3.4;0.0;0.5;1.3;-0.6;3.4;Strong Downtrend;Contraction;true;false;20.0;1.0
2017-06-27;2442.5;2407.0;2438.0;2407.9;2424.6;2407.9;false;35.5;2470.0;2381.4;2462.3;2388.1;2430.4;true;true;true;true;true;false;false;1498529400000000;1498521600000000;1498521600000000;09:00 - 09:15;false;false;false;;;2381.4;2470.0;2415.9;2381.4;1498521900000000;1498522800000000;true;09:15 - 09:30;09:00 - 09:15;2407.9;2447.6;false;false;-0.7;-0.8;0.2;0.2;-0.8;1.7;0.4;0.0;0.6;-0.8;1.7;Strong Downtrend;;false;false;53.2;0.7
