date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2011-09-19;2278.29;2261.02;2277.64;2261.27;2277.64;2261.27;false;17.27;2319.73;2260.66;2319.24;2261.34;2308.95;true;true;true;false;true;true;false;1316444400000000;;1316444400000000;11:00 - 11:15;true;true;true;2260.66;2274.18;2276.11;2319.73;2276.11;2319.73;1316445000000000;1316460900000000;true;15:30 - 15:45;11:00 - 11:15;;;;;3.3;3.5;0.9;1.0;3.4;0.9;1.0;0.1;2.8;-0.0;3.4;;;;;;
2011-09-20;2320.72;2304.49;2318.55;2306.38;2318.55;2311.65;false;16.23;2337.6;2293.06;2336.66;2294.47;2295.36;true;true;true;true;true;false;false;1316528400000000;1316545500000000;1316528400000000;10:15 - 10:30;true;false;false;2308.92;2320.29;2293.06;2337.6;2321.33;2337.6;1316528700000000;1316534100000000;false;11:45 - 12:00;10:15 - 10:30;;;;;2.0;2.5;1.1;1.3;2.1;-0.7;0.9;0.5;-0.5;-0.7;2.1;;;;;;
2011-09-21;2321.13;2305.91;2316.8;2308.41;2308.41;2314.66;true;15.22;2318.32;2258.92;2315.13;2259.17;2259.17;false;true;false;true;true;true;true;;1316615400000000;1316615400000000;10:30 - 10:45;false;true;true;2306.3;2318.32;2258.92;2315.39;2315.39;2258.92;1316629200000000;1316634900000000;true;15:45 - 16:00;14:15 - 14:30;;;;;-3.0;-5.8;0.6;0.8;-3.1;0.6;0.1;0.5;-3.1;-3.1;0.8;;;;;;
2011-09-22;2210.53;2181.54;2209.63;2183.94;2195.42;2183.94;false;28.99;2219.71;2159.07;2216.04;2161.6;2171.44;true;true;true;true;true;false;false;1316701200000000;1316712900000000;1316701200000000;10:15 - 10:30;true;false;false;2183.99;2206.67;2159.07;2219.71;2203.96;2219.71;1316701800000000;1316702700000000;true;10:45 - 11:00;10:30 - 10:45;;;;;1.3;1.3;0.8;0.8;1.4;-0.7;0.5;0.1;-0.3;-0.7;1.4;;;;;;
2012-01-20;2434.9;2428.66;2434.05;2428.66;2428.66;2431.15;true;6.24;2438.25;2429.05;2437.5;2429.88;2436.24;true;false;true;false;true;true;true;1327072800000000;;1327072800000000;10:15 - 10:30;true;true;true;2429.5;2433.98;2429.05;2438.25;2429.05;2438.25;1327077300000000;1327083900000000;true;13:15 - 13:30;11:30 - 11:45;;;;;1.5;1.7;0.1;0.1;1.6;0.1;0.0;0.4;1.3;0.1;1.6;;;;;;
2012-01-23;2450.38;2436.54;2449.39;2436.86;2436.86;2449.39;true;13.84;2455.22;2424.29;2453.85;2425.8;2437.37;true;true;true;true;true;false;false;1327330800000000;1327336500000000;1327330800000000;10:00 - 10:15;true;false;false;;;2424.29;2455.22;2452.91;2455.22;1327331100000000;1327331100000000;false;10:00 - 10:15;10:00 - 10:15;;;;;1.3;1.4;1.2;1.3;1.4;-0.8;0.1;1.0;0.1;-0.8;1.4;;;;;;
2012-01-24;2429.37;2423.36;2428.93;2424.13;2427.79;2427.97;true;6.01;2440.2;2424.51;2439.17;2427.24;2433.09;true;false;true;false;true;true;true;1327417200000000;;1327417200000000;10:00 - 10:15;true;true;true;;;2427.82;2440.2;2429.97;2440.2;1327417800000000;1327419900000000;false;10:45 - 11:00;10:00 - 10:15;;;;;2.8;3.3;1.1;1.3;2.9;0.8;0.8;0.8;1.7;0.2;2.9;;;;;;
2012-01-25;2456.55;2443.84;2456.55;2444.75;2456.55;2445.1;false;12.71;2470.57;2440.57;2469.36;2442.16;2465.54;true;true;true;true;true;false;false;1327514700000000;1327503900000000;1327503900000000;10:00 - 10:15;false;false;false;2443.14;2447.61;2440.57;2470.57;2449.14;2440.57;1327504800000000;1327505700000000;true;10:30 - 10:45;10:15 - 10:30;;;;;-0.2;-0.3;0.4;0.3;-0.3;2.1;1.0;0.0;1.7;-0.3;2.1;;;;;;
2012-01-26;2479.31;2467.99;2478.31;2468.92;2474.42;2478.31;true;11.32;2478.85;2444.87;2478.24;2445.1;2454.59;false;true;false;true;true;true;true;;1327591800000000;1327591800000000;10:30 - 10:45;false;true;true;2469.64;2478.85;2444.87;2466.57;2466.57;2444.87;1327592100000000;1327609500000000;false;15:15 - 15:30;10:30 - 10:45;;;;;-2.0;-2.5;-0.2;-0.3;-2.1;-0.2;0.5;0.9;-1.2;-2.1;0.9;;;;;;
2012-01-27;2462.49;2449.83;2460.59;2450.38;2450.38;2460.59;true;12.66;2467.46;2452.63;2467.3;2453.93;2462.27;true;false;true;false;true;true;true;1327695000000000;;1327695000000000;15:00 - 15:15;true;true;false;2452.63;2462.02;2461.83;2467.46;2464.18;2467.46;1327695300000000;1327697100000000;false;15:45 - 16:00;15:15 - 15:30;;;;;1.3;1.6;1.2;1.4;1.4;1.0;0.1;0.9;1.0;0.3;1.4;;;;;;
