date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2017-05-17;1830.4;1803.7;1828.5;1807.9;1827.9;1819.4;false;26.7;1840.5;1811.5;1840.0;1815.2;1823.4;true;false;true;false;true;true;true;1495014300000000;;1495014300000000;05:45 - 06:00;true;true;false;1811.5;1836.2;1815.2;1840.5;1827.5;1840.5;1495017000000000;1495018200000000;true;06:45 - 07:00;06:30 - 06:45;1779.4;1807.0;false;true;1.3;1.5;0.9;1.0;1.4;0.5;1.0;0.6;0.8;0.3;1.4;Strong Uptrend;;false;false;14.5;1.8
2017-05-22;2186.0;2086.2;2160.0;2121.5;2148.7;2137.9;false;99.8;2194.0;2037.4;2170.5;2050.6;2110.4;true;true;false;true;true;true;false;;1495443600000000;1495443600000000;05:00 - 05:15;false;true;false;2095.8;2174.3;2037.4;2194.0;2107.2;2037.4;1495443900000000;1495444200000000;true;05:00 - 05:15;05:00 - 05:15;2032.0;2065.5;false;false;-0.4;-2.1;0.2;-0.4;-0.5;1.0;0.6;0.5;0.2;-0.5;1.0;Strong Uptrend;Strong Uptrend;true;true;53.9;1.9
2017-05-23;2191.1;2144.5;2186.6;2151.2;2151.2;2180.6;true;46.6;2238.8;2113.1;2228.5;2143.9;2225.1;true;true;true;true;true;false;false;1495534500000000;1495531800000000;1495531800000000;05:30 - 05:45;false;false;false;2136.1;2187.2;2113.1;2238.8;;;;;false;;;2104.6;2170.0;false;false;;;;;-0.7;2.0;0.1;0.7;1.7;-0.7;2.0;Medium Uptrend;Medium Downtrend;true;true;127.4;0.4
2017-05-24;2324.0;2288.1;2320.1;2312.0;2319.5;2314.5;false;35.9;2380.1;2285.9;2377.0;2288.8;2374.6;true;true;true;false;true;true;false;1495614600000000;;1495614600000000;04:30 - 04:45;true;true;true;2308.1;2328.9;2285.9;2380.1;2285.9;2380.1;1495617300000000;1495627200000000;true;08:00 - 08:15;05:15 - 05:30;2256.2;2309.0;false;true;2.5;8.4;-0.0;-3.2;2.6;-0.0;0.9;0.8;2.5;-0.0;2.6;Strong Uptrend;Medium Uptrend;true;true;36.5;1.0
2017-05-25;2673.0;2575.9;2668.6;2623.5;2663.9;2645.3;false;97.1;2778.7;2598.3;2738.0;2632.9;2702.3;true;false;true;false;true;true;true;1495703100000000;;1495703100000000;05:00 - 05:15;true;true;true;2598.3;2678.7;2626.4;2778.7;2629.3;2778.7;1495705500000000;1495714500000000;true;08:15 - 08:30;05:45 - 06:00;2420.5;2566.4;false;false;2.0;3.4;0.6;0.2;2.1;0.6;1.0;0.8;1.4;0.3;2.1;Strong Uptrend;Strong Uptrend;true;true;61.3;1.6
2017-05-26;2594.0;2478.1;2594.0;2489.1;2558.0;2557.2;false;115.9;2661.5;2467.9;2641.3;2496.3;2496.3;true;true;true;false;true;true;false;1495788300000000;;1495788300000000;04:45 - 05:00;true;true;false;2507.4;2596.6;2467.9;2661.5;2584.1;2661.5;1495789500000000;1495789800000000;true;05:00 - 05:15;05:00 - 05:15;2329.2;2450.5;false;false;1.5;1.6;1.0;1.0;1.6;-0.0;0.7;0.7;0.2;-0.0;1.6;Strong Uptrend;Strong Downtrend;true;true;166.5;0.7
2017-05-29;2254.9;2185.3;2233.0;2187.2;2221.1;2187.2;false;69.6;2277.7;2177.6;2274.8;2187.2;2253.0;true;true;true;false;true;true;false;1496053500000000;;1496053500000000;06:15 - 06:30;true;true;false;2177.6;2255.6;2211.4;2277.7;2230.3;2277.7;1496054700000000;1496056200000000;true;07:00 - 07:15;06:45 - 07:00;2179.5;2212.5;false;false;1.3;1.9;0.7;1.0;1.4;0.4;0.6;0.1;1.0;-0.1;1.4;Weak Uptrend;Strong Downtrend;false;true;122.0;0.6
2017-05-30;2299.9;2254.9;2283.3;2258.5;2273.6;2278.1;true;45.0;2322.7;2237.6;2317.2;2247.3;2297.5;true;true;true;true;true;false;false;1496139300000000;1496135400000000;1496135400000000;05:00 - 05:15;false;false;false;2243.1;2304.3;2241.5;2322.7;2267.3;2241.5;1496135700000000;1496135700000000;true;05:15 - 05:30;05:15 - 05:30;2275.0;2294.7;false;true;-0.2;-0.6;0.2;0.3;-0.3;1.5;0.4;0.5;0.9;-0.4;1.5;Contraction;Medium Uptrend;false;false;56.7;0.8
2017-05-31;2254.1;2198.1;2251.1;2224.5;2241.9;2224.5;false;56.0;2253.2;2192.9;2250.5;2200.1;2216.7;false;true;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;2191.4;2184.7;false;false;;;;;;;0.7;0.4;0.3;-0.1;0.9;Medium Uptrend;Strong Downtrend;true;true;76.6;0.7
2017-06-01;2400.8;2377.2;2395.0;2381.3;2384.2;2395.0;true;23.6;2475.2;2394.6;2465.7;2394.9;2459.5;true;false;true;false;true;true;true;1496304000000000;;1496304000000000;04:00 - 04:15;true;true;true;;;2400.8;2475.2;2400.8;2475.2;1496304600000000;1496319300000000;false;08:15 - 08:30;04:00 - 04:15;2303.5;2375.9;false;false;4.1;6.8;1.0;1.5;4.2;1.0;0.3;0.8;3.5;0.8;4.2;Strong Uptrend;Strong Uptrend;true;true;33.3;0.7
